date;title;format;media;author;author2;author3;author4;author5;author6;url
14/11/2018;Foncionnaires territoriaux, 39 jours d'arrêt de travail par an contre sur 17 dans le privé, c'est insupportable pour le contribuable !;Débat;RMC;Éric Brunet;Laurent Pahpy;;;;;https://rmc.bfmtv.com/mediaplayer/audio/rmc-1411-radio-brunet-foncionnaires-territoriaux-39-jours-d-arret-de-travail-par-an-contre-sur-17-dans-le-prive-c-est-insupportable-pour-le-contribuable-13h-14h-444436.html
13/11/2018;« Retraites par capitalisation: épargner aux générations futures le déclassement »;Article;L'Opinion;Laurent Pahpy;;;;;;https://www.lopinion.fr/edition/economie/retraites-capitalisation-epargner-epargner-aux-generations-futures-168141
12/11/2018;« Notre administration est la fille du gouvernement de Vichy »;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/article/Notre-administration-est-la-fille-du-gouvernement-de-Vichy
05/11/2018;Ces cinq records du monde qui n’honorent pas la France;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/article/Ces-cinq-records-du-monde-qui-n-honorent-pas-la-France
30/10/2018;Fonctionnaires, maternités, Wauquiez/Griveaux, Merkel : Points de vue;Débat;Le Figaro;Guillaume Roquette;Laurent Pahpy;Olivier Ravanello;Nicolas Vidal;Rachel Binhas;;http://video.lefigaro.fr/figaro/video/fonctionnaires-maternites-wauquiez-griveaux-merkel-points-de-vue-du-30-octobre/5855380182001/
16/10/2018;L’Allemagne se désendette de 1675 € par seconde, au même moment, la dette française s’alourdit de 2090 €;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/article/L-Allemagne-se-desendette-de-1675-EUR-par-seconde
03/10/2018;L’immigration nous apporte-t-elle enrichissement ou appauvrissement ?;Débat;RT France;Frédéric Taddeï;Laurent Pahpy;Elisabeth Lévy;Djordje Kuzmanovic;Pierre Jacquemain;;https://www.youtube.com/watch?v=ENHc6-JR904
18/09/2018;Les luxueuses formations des cadres des coopératives HLM dans les hôtels cinq étoiles parisiens;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/article/Les-luxueuses-formations-des-cadres-des-cooperatives-HLM
22/08/2018;Procès Monsanto-Johnson : quand la science capitule face au jury, Nicolas Hulot jubile;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/article/Proces-Monsanto-Johnson-quand-la-science-capitule-face-au-jury-Nicolas-Hulot-jubile
27/07/2018;Pierre Rabhi ou l’idéologie aveugle à tout raisonnement scientifique sur l’environnement;Article;Atlantico;Laurent Pahpy;Ferghane Azihari;;;;;http://www.atlantico.fr/decryptage/pierre-rabhi-ou-ideologie-aveugle-tout-raisonnement-scientifique-environnement-ferghane-azihari-laurent-pophy-3464460.html
13/06/2018;La fronde anti-huile de palme, une parade protectionniste;Article;Les Echos;Laurent Pahpy;;;;;;https://www.lesechos.fr/idees-debats/cercle/cercle-183833-blocage-des-raffineries-la-fronde-anti-huile-de-palme-une-parade-protectionniste-2183681.php
